QuestionId,MisconceptionId,CorrectAnswer,MisconceptionName,ConstructName,SubjectName,AnswerBText,AnswerAText,QuestionText,MisconceptionB
2689,2207,A,Believes we can categorise data as primary or secondary without knowing the source,Data Type Identification. ,Data Types in Programming,Integer,String,What is the primary data type used to store a sequence of characters in most programming languages?,Believes we can categorise data as primary or secondary without knowing the source
2690,2211,A,Believes interquartile range is the sum of the lower and upper quartiles,Interquartile Range Calculation,Statistics,24,8,"What is the interquartile range of the following data set: 1, 3, 5, 7, 9, 11, 13, 15, 17, 19?",Believes interquartile range is the sum of the lower and upper quartiles
2691,2213,A,Assumes regular shape refers only to a square,Perimeter of Regular Shapes. ,Geometry,4 units,6 units,"If the perimeter of a regular shape is 24 units, what is the length of one side?",Assumes regular shape refers only to a square
2692,2216,A,Believes the mean from grouped data something divided by the sum of the midpoint values,Calculation of Mean from Grouped Data. ,Statistics,30.5,27.5,What is the mean of the following grouped data?,Believes the mean from grouped data is something divided by the sum of the midpoint values.
2693,2219,A,"Believes any co-interior angles are supplementary, not just those in parallel lines",Co-interior angles and parallel lines.,Geometry,"Yes, the lines are parallel.","No, the lines are not parallel.","If two lines are cut by a transversal and the co-interior angles are 110掳 and 70掳, are the lines parallel?","Believes any co-interior angles are supplementary, not just those in parallel lines."
2694,2222,A,Out by 10 when subtracting,Subtraction of two-digit numbers from three-digit numbers. ,Arithmetic,66,76,"If you subtract 47 from 123, what is the result?",Out by 10 when subtracting
2695,2223,A,"When dividing fractions, divides the denominators by each other",Division of Fractions,Arithmetic Operations with Fractions,\(\frac{4}{5}\),\(\frac{15}{8}\),What is the result of dividing the fraction \(\frac{3}{4}\) by the fraction \(\frac{2}{5}\)?,"When dividing fractions, divides the denominators by each other."
2696,2224,A,Does not recall larger square numbers,Knowledge of square numbers. ,Arithmetic,121,144,What is the square of 12?,Does not recall larger square numbers
2697,2227,A,Subtracts rather than adds when using Pythagoras to find the hypotenuse,Pythagorean Theorem,Geometry,7 units,13 units,"In a right triangle, the lengths of the two legs are 5 units and 12 units. What is the length of the hypotenuse?",Subtracts rather than adds when using Pythagoras to find the hypotenuse
2698,2229,A,Believes the mean is something divided by total,Calculation of the Mean,Statistics,15,16.5,"What is the mean of the numbers 12, 15, 18, and 21?",Believes the mean is something divided by total
2699,2232,A,Thinks that perpendicular lines do not meet at 90 degrees,Perpendicular Lines and Angles,Geometry,0 degrees,90 degrees,What is the angle formed by two perpendicular lines?,Thinks that perpendicular lines do not meet at 90 degrees
2700,2233,A,Thinks the reciprocal of a fraction is what number adds to that fraction to make one whole.,Reciprocal of a fraction. ,Arithmetic,\(\frac{1}{4}\),\(\frac{4}{3}\),What is the reciprocal of the fraction \(\frac{3}{4}\)?,Thinks the reciprocal of a fraction is what number adds to that fraction to make one whole.
2701,2235,A,Gives the first significant figure when asked for the second,Identifying the second significant figure in a decimal number.  ,Significant Figures,4,5,What is the second significant figure of the number 0.04567?,Gives the first significant figure when asked for the second
2702,2236,A,Does not know that co-interior angles sum to 180 degrees,Co-interior angles sum to 180 degrees. ,Geometry,110 degrees,70 degrees,"In the diagram below, two parallel lines are cut by a transversal. If one of the co-interior angles is 110 degrees, what is the measure of the other co-interior angle?",Does not know that co-interior angles sum to 180 degrees
2703,2242,A,Converts a fraction to a decimal by placing the denominator after the decimal point,Converting fractions to decimals. ,Arithmetic,0.83,0.375,Convert the fraction \(\frac{3}{8}\) to a decimal.,Converts a fraction to a decimal by placing the denominator after the decimal point.
2704,2243,A,Believes quartiles are at 1/4 and 3/4 through the range of the data,Quartiles,Statistics,2.5 and 7.5,3 and 8,"What are the first and third quartiles of the following data set: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10?",Believes quartiles are at 1/4 and 3/4 through the range of the data
2705,2244,A,"Thinks there are 10,000g in a kilogram",Kilograms to Grams Conversion.  ,Unit Conversion,25000 grams,2500 grams,How many grams are in 2.5 kilograms?,"Thinks there are 10,000g in a kilogram"
2706,2246,A,Answers as if there are 10 seconds in a minute when changing from seconds to minutes,Converting seconds to minutes. ,Time Conversion,12 minutes,2 minutes,How many minutes are there in 120 seconds?,Answers as if there are 10 seconds in a minute when changing from seconds to minutes
2707,2247,A,Does not understand that a number is divisible by the factors of its factors,Divisibility Rules,Number Theory,"2, 3, 5, 6","2, 3, 4, 6","If a number is divisible by 12, which of the following must also divide the number?",Does not understand that a number is divisible by the factors of its factors.
2708,2249,A,Confuses calculations for cumulative frequency and estimated total from a grouped frequency table,Cumulative Frequency vs. Estimated Total,Statistics,75,450,A grouped frequency table shows the number of books read by students in a month. The table is as follows:,Confuses calculations for cumulative frequency and estimated total from a grouped frequency table
2709,2253,A,Believes the position number in a sequence does not have to be an integer,Finding terms in arithmetic sequences,Arithmetic Sequences,14.5,11.5,What is the 3.5th term in the arithmetic sequence where the first term is 2 and the common difference is 3?,Believes the position number in a sequence does not have to be an integer
2710,2254,A,Removes the decimal point when asked to round a decimal to a whole number,Rounding Decimals to Whole Numbers.  ,Arithmetic,375,4,Round the decimal number 3.75 to the nearest whole number.,Removes the decimal point when asked to round a decimal to a whole number
2711,2255,A,Believes you subtract the number caught second from the estimated population to find the number marked first when using the capture-recapture method,Capture-Recapture Method,Statistics and Probability,490,300,"A wildlife researcher uses the capture-recapture method to estimate the population of a species in a forest. In the first capture, 50 animals were marked and released. In the second capture, 60 animals were caught, and 10 of them were found to be marked. What is the estimated total population of the species in the forest?",Believes you subtract the number caught second from the estimated population to find the number marked first when using the capture-recapture method.
2712,2257,A,Believes you always reduce the numerator and denominator by 1 when writing the probability for a second pick without replacement on a tree diagram,Conditional Probability without Replacement,Probability,\(\frac{4}{10}\),\(\frac{5}{11}\),"A bag contains 5 red marbles and 7 blue marbles. If you draw one marble at random and do not replace it, what is the probability of drawing a red marble on the second draw?",Believes you always reduce the numerator and denominator by 1 when writing the probability for a second pick without replacement on a tree diagram.
